"","abbrv","actors","type","foreign","coalition","territory","terrcons","geospr","relgeoprs","milstrdiv","relmilstr","years","battles","grpfight","hostindex"
"213","BaniHaTM","Bani Harith Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"214","BaniSuraTrM","Bani Sura Tribal Militia",4,0,0,0,0,1,0.059,5,0.009,1,5,5,1
"215","AHCM","Al Hima Communal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"216","AlGhulTM","Al Ghulais Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"184","SCM","Saddam Clan Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"176","AUB","Al Usbah Brigade",3,1,0,0,0,1,0.059,3,0.005,3,3,2,0.667
"162","AlMabTM","Al Mabrash Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"182","ThuMaTM","Thu Mashahaf Tribal Militia",4,0,0,0,0,1,0.059,3,0.005,1,3,3,1
"217","MAAaH","Militia Abdul Adhim al Houthi",3,0,0,0,0,1,0.059,6,0.01,1,6,6,1
"173","AlMawTM","Al Mawjani Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"206","MCM","Mudiyah Communal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"200","HammTM","Hammadi Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"152","AlLahTM","Al Lahaq Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,2,2,2,1
"207","AlNasyTM","Al Nasyeen Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"157","NTM","Nihmah Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"163","AlDaTM","Al Dahur Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"204","MuhTM","Muhrabi Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"218","DYTM","Dhu Yahyah Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"179","AlJabaTM","Al Jabar Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"189","BaDTM","Bayt al Dughaysh Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"170","QawTM","Qawil Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"186","AlManTM","Al Manar Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"202","AbbTM","Abbas Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"219","AlGhunTM","Al Ghunaim Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"220","KaSCM","Kharbat as Subari Communal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"194","BNaDTM","Bani Najm ad Din Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"209","ThuMoTM","Thu Mohammed Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"168","AlKhTM","Al Khalifa Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"164","AlNasiTM","Al Nasiri Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"156","ADCM","Al Dabyan Clan Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"221","AlSanTM","Al Sanhan Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"183","ASCTMAF","As Sawraqi Clan Tribal Militia  Abduh Faction",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"159","BaBTM","Bani al Barash Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"205","AlWuTM","Al Wuhayshi Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"190","BaRTM","Bayt ar Rubui Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"201","AlMaqarTM","Al Maqarihah Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"208","KCM","Kastru Communal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"171","AsSayCM","As Sayla Communal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"187","AlBanTM","Al Ban Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"203","AJQTM","Al Jawf Qayfa Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"160","BaniAsTM","Bani Asaad Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"155","AlKiTM","Al Kidah Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,1,2,2,1
"180","AlAtaTM","Al Atawiyyin Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"178","AlAtiTM","Al Atir Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"177","AlAmTM","Al Amir Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,2,2,2,1
"175","AlMahtTM","Al Mahtam Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"181","ADBaHTM","Al Dahshal Ba al Harith Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"185","AlBadiTM","Al Badi Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,1,2,2,1
"172","AlWalTM","Al Walid Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"188","AlBeTM","Al Berber Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"154","AlShiTM","Al Shin Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"191","AlAgTM","Al Aghabira Tribal Militia",4,0,0,0,0,1,0.059,4,0.007,2,4,4,1
